@relation 'estado_cultivo-weka.filters.unsupervised.attribute.Remove-R1-3,16-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R5-6'

@attribute CULTIVO {SAbila,'Aguacate demAs variedades','Banano consumo interno',Granadilla,Guayaba,'Gulupa o cholupa',Lulo,'Pina demAs variedades','PlAtano consumo interno','Otros cItricos','MaIz Tradicional','MaIz Tecnificado','Cebolla De Rama',Cilantro,Lechuga,PimentOn,Repollo,Tomate,Zanahoria,'Papa todas las variedades',Iraca,Fresa,Mora,'Tomate de Arbol',GuanAbana,Esparrago,'Tomate Invernadero',MaracuyA,'Papaya  demAs variedades','Otras hortalizas',Habichuela,'LimOn  Pajarito','Mango demAs variedades','Naranja demAs variedades',Ahuyama,Patilla,'Yuca consumo en fresco','Otros frutales','Cebolla De Bulbo','Pepino Cohombro',Remolacha,Mangostino,Chontaduro,Brevo,Feijoa,'Plantas AromAticas','Aguacate Hass','Aguacate Papelillo','LimOn  TahitI','Mandarina Arrayana y/o Oneco','Naranja Valencia','Papaya  Hawaiana, Maradol, Melona, Redonda y/o Tainung',Albahaca,'Sacha inchi',Macadamia,Zapote,'Papa Criolla',Arracacha,Cacao,CafE,'Cana Panelera',Frijol,Fique,Arveja,'Cana de AzUcar','MaIz Amarillo Tradicional','MaIz Blanco Tradicional','MaIz Amarillo Tecnificado','MaIz Blanco Tecnificado','Palma de aceite'}
@attribute 'CICLO DE CULTIVO' {Permanente,Transitorio}
@attribute 'GRUPO CULTIVO' {'Cultivos para Condimentos y Bebidas Medicinales y AromAticas',Frutales,Cereales,Hortalizas,'RaIces y TubErculos','Cultivos Tropicales Tradicionales',Leguminosas,Oleaginosas}
@attribute SUBGRUPO {Medicinales,'Demas frutales',PasiflorAceas,MirtAceas,SolanAceas,CItricos,Cereales,'Hortalizas de Tallo','Hortalizas de Hoja','Hortalizas de Futo','Hortalizas de raIz','RaIces y TubErculos','Cultivos Tropicales Tradicionales',AnonAceas,Hortalizas,Leguminosas,ArAceas,'Cultivos para Condimentos y Bebidas Medicinales y AromAticas',AromAticas,Oleaginosas}
@attribute 'Area Sembrada(ha)' numeric
@attribute 'AREA COSECHADA(ha)' numeric
@attribute PRODUCCION(t) numeric
@attribute RENDIMIENTO(t/ha) numeric
@attribute 'NOMBRE CIENTIFICO CULTIVO' {'Aloe vera','Persea americana','Musa cavendishii','Passiflora ligularis.','Psidium guajava L.','Passiflora edulis Sims fo. Edulis','Solanum quitoense Lam','Ananas comosus L. Merr.','Musa paradisiaca L.','No aplica','Zea mays','Allium fistulosum','Coriandrum sativum','Lactuca sativa','Capsicum annuum L','Brassica oleracea var. capitata','Lycopersicon esculentum','Daucus carota','Solanum tuberosum','Carludovica palmata','Fragaria vesca','Morus ssp','Solanum betaceum','Annona muricata L.','Asparagus officinalis','Passiflora edulis','Carica papaya','Phaseolus vulgaris','Citrus limon L.','Mangifera indica L','Citrus sinensis L. OSBECK','Cucurbita maxima','Citrullus lanatus','Manihot esculenta','Allium cepa','Cucumis sativus','Beta vulgaris','Garcinia mangostana L.','Bactris gasipaes Kunth','Ficus carica L.','Feijoa sellowiana berg.','Persea americana hass','Persea americana mill','Citrus reticulata','Ocimun basilicum L.','Plukenetia volubilis','Macadamia integrifolia','Pouteria sapota','Arracacia xanthorrhiza','Theobrama cacao L.','Coffea arabica L.','Saccharum officinarum L.','Phaseolus sp.','Furcraea gigantea','Pisum sativum','Elaeis guineensis Jacq.'}
@attribute 'ESTADO FISICO DEL CULTIVO' {'En fresco','Grano seco','Pergamino o seco de trilla','Cana o verde',Otros}

@data
'Mandarina Arrayana y/o Oneco',Permanente,Frutales,CItricos,63.48,63.48,1269.6,20,'Citrus reticulata','En fresco'
MaracuyA,Permanente,Frutales,PasiflorAceas,12,12,42,3.5,'Passiflora edulis','En fresco'
'Naranja Valencia',Permanente,Frutales,CItricos,383.64,383.64,7672.8,20,'Citrus sinensis L. OSBECK','En fresco'
'Naranja demAs variedades',Permanente,Frutales,CItricos,0.85,0.85,17,20,'Citrus sinensis L. OSBECK','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',1755,1755,24570,14,'Musa paradisiaca L.','En fresco'
Habichuela,Transitorio,Leguminosas,Leguminosas,1,1,8,8,'Phaseolus vulgaris','En fresco'
'Yuca consumo en fresco',Transitorio,'RaIces y TubErculos','RaIces y TubErculos',0,6,90,15,'Manihot esculenta','En fresco'
Habichuela,Transitorio,Leguminosas,Leguminosas,0.5,0.5,4,8,'Phaseolus vulgaris','En fresco'
'Yuca consumo en fresco',Transitorio,'RaIces y TubErculos','RaIces y TubErculos',6,0,0,0,'Manihot esculenta','En fresco'
'Aguacate Hass',Permanente,Frutales,'Demas frutales',2500,1155,6930,6,'Persea americana hass','En fresco'
'Aguacate Papelillo',Permanente,Frutales,'Demas frutales',5.4,5.4,37.8,7,'Persea americana mill','En fresco'
Fresa,Permanente,Frutales,'Demas frutales',2,2,8.4,4.2,'Fragaria vesca','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',2044,2029,14203,7,'Musa paradisiaca L.','En fresco'
Tomate,Transitorio,Hortalizas,'Hortalizas de Futo',5,5,140,28,'Lycopersicon esculentum','En fresco'
'Papa todas las variedades',Transitorio,'RaIces y TubErculos','RaIces y TubErculos',60,60,960,16,'Solanum tuberosum','En fresco'
Tomate,Transitorio,Hortalizas,'Hortalizas de Futo',5,4,100,25,'Lycopersicon esculentum','En fresco'
'Papa todas las variedades',Transitorio,'RaIces y TubErculos','RaIces y TubErculos',60,60,960,16,'Solanum tuberosum','En fresco'
'Aguacate demAs variedades',Permanente,Frutales,'Demas frutales',368,288,2304,8,'Persea americana','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',349.8,341.8,2392.6,7,'Musa paradisiaca L.','En fresco'
'Sacha inchi',Permanente,Oleaginosas,Oleaginosas,7,7,7,1,'Plukenetia volubilis','En fresco'
Tomate,Transitorio,Hortalizas,'Hortalizas de Futo',1,1,12,12,'Lycopersicon esculentum','En fresco'
Habichuela,Transitorio,Leguminosas,Leguminosas,1,1,1,1,'Phaseolus vulgaris','En fresco'
Tomate,Transitorio,Hortalizas,'Hortalizas de Futo',1.5,1.5,18,12,'Lycopersicon esculentum','En fresco'
Habichuela,Transitorio,Leguminosas,Leguminosas,1,1,1.3,1.3,'Phaseolus vulgaris','En fresco'
'Aguacate Papelillo',Permanente,Frutales,'Demas frutales',87,86,1892,22,'Persea americana mill','En fresco'
'Aguacate demAs variedades',Permanente,Frutales,'Demas frutales',138,128,2880,22.5,'Persea americana','En fresco'
'LimOn  Pajarito',Permanente,Frutales,CItricos,6.07,5.57,55.7,10,'Citrus limon L.','En fresco'
'LimOn  TahitI',Permanente,Frutales,CItricos,18.51,18.51,185.1,10,'Citrus limon L.','En fresco'
Lulo,Permanente,Frutales,SolanAceas,23,18,234,13,'Solanum quitoense Lam','En fresco'
'Mandarina Arrayana y/o Oneco',Permanente,Frutales,CItricos,48.62,48.62,486.2,10,'Citrus reticulata','En fresco'
'Naranja Valencia',Permanente,Frutales,CItricos,101,101,2020,20,'Citrus sinensis L. OSBECK','En fresco'
'Naranja demAs variedades',Permanente,Frutales,CItricos,0.6,0.6,6,10,'Citrus sinensis L. OSBECK','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',931.5,926.5,9265,10,'Musa paradisiaca L.','En fresco'
'Plantas AromAticas',Transitorio,'Cultivos para Condimentos y Bebidas Medicinales y AromAticas','Cultivos para Condimentos y Bebidas Medicinales y AromAticas',2,2,30,15,'No aplica','En fresco'
'Aguacate demAs variedades',Permanente,Frutales,'Demas frutales',26,6,36,6,'Persea americana','En fresco'
Granadilla,Permanente,Frutales,PasiflorAceas,8,8,52,6.5,'Passiflora ligularis.','En fresco'
'LimOn  Pajarito',Permanente,Frutales,CItricos,3.92,3.92,39.2,10,'Citrus limon L.','En fresco'
'LimOn  TahitI',Permanente,Frutales,CItricos,13.92,12.92,135.66,10.5,'Citrus limon L.','En fresco'
Lulo,Permanente,Frutales,SolanAceas,9,8,40,5,'Solanum quitoense Lam','En fresco'
'Mandarina Arrayana y/o Oneco',Permanente,Frutales,CItricos,31.54,31.54,290.17,9.2,'Citrus reticulata','En fresco'
MaracuyA,Permanente,Frutales,PasiflorAceas,27,27,270,10,'Passiflora edulis','En fresco'
'Naranja Valencia',Permanente,Frutales,CItricos,158.29,158.29,1582.9,10,'Citrus sinensis L. OSBECK','En fresco'
'Naranja demAs variedades',Permanente,Frutales,CItricos,0.84,0.84,8.4,10,'Citrus sinensis L. OSBECK','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',1174,1174,23480,20,'Musa paradisiaca L.','En fresco'
'Tomate Invernadero',Transitorio,Hortalizas,'Hortalizas de Futo',12,16.6,664,40,'Lycopersicon esculentum','En fresco'
'Tomate Invernadero',Transitorio,Hortalizas,'Hortalizas de Futo',19,14,532,38,'Lycopersicon esculentum','En fresco'
'Aguacate demAs variedades',Permanente,Frutales,'Demas frutales',507,497,3479,7,'Persea americana','En fresco'
'LimOn  Pajarito',Permanente,Frutales,CItricos,1.2,1.2,10.8,9,'Citrus limon L.','En fresco'
'LimOn  TahitI',Permanente,Frutales,CItricos,3.96,3.96,35.64,9,'Citrus limon L.','En fresco'
'Mandarina Arrayana y/o Oneco',Permanente,Frutales,CItricos,9.82,9.82,63.83,6.5,'Citrus reticulata','En fresco'
'Naranja Valencia',Permanente,Frutales,CItricos,55.76,52.76,332.39,6.3,'Citrus sinensis L. OSBECK','En fresco'
'Naranja demAs variedades',Permanente,Frutales,CItricos,0.26,0.26,1.56,6,'Citrus sinensis L. OSBECK','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',185,185,1850,10,'Musa paradisiaca L.','En fresco'
'Plantas AromAticas',Transitorio,'Cultivos para Condimentos y Bebidas Medicinales y AromAticas','Cultivos para Condimentos y Bebidas Medicinales y AromAticas',4,4,6,1.5,'No aplica','En fresco'
'Aguacate Hass',Permanente,Frutales,'Demas frutales',880.25,879.25,8792.5,10,'Persea americana hass','En fresco'
'Aguacate Papelillo',Permanente,Frutales,'Demas frutales',148.55,138.55,1108.4,8,'Persea americana mill','En fresco'
'Aguacate demAs variedades',Permanente,Frutales,'Demas frutales',901.2,896.2,6273.4,7,'Persea americana','En fresco'
Brevo,Permanente,Frutales,'Demas frutales',2,2,22,11,'Ficus carica L.','En fresco'
Feijoa,Permanente,Frutales,MirtAceas,1,1,5.5,5.5,'Feijoa sellowiana berg.','En fresco'
Fresa,Permanente,Frutales,'Demas frutales',10,4,160,40,'Fragaria vesca','En fresco'
Granadilla,Permanente,Frutales,PasiflorAceas,20,20,160,8,'Passiflora ligularis.','En fresco'
'Gulupa o cholupa',Permanente,Frutales,PasiflorAceas,12,4,20,5,'Passiflora edulis Sims fo. Edulis','En fresco'
Lulo,Permanente,Frutales,SolanAceas,29,29,232,8,'Solanum quitoense Lam','En fresco'
Mora,Permanente,Frutales,'Demas frutales',55,45,450,10,'Morus ssp','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',40,38,380,10,'Musa paradisiaca L.','En fresco'
'Tomate de Arbol',Permanente,Frutales,SolanAceas,2,2,16,8,'Solanum betaceum','En fresco'
'Cebolla De Rama',Transitorio,Hortalizas,'Hortalizas de Tallo',20,15,315,21,'Allium fistulosum','En fresco'
'Tomate Invernadero',Transitorio,Hortalizas,'Hortalizas de Futo',12,10,700,70,'Lycopersicon esculentum','En fresco'
'Otras hortalizas',Transitorio,Hortalizas,Hortalizas,200,200,3000,15,'No aplica','En fresco'
'Papa todas las variedades',Transitorio,'RaIces y TubErculos','RaIces y TubErculos',80,80,1680,21,'Solanum tuberosum','En fresco'
'Cebolla De Rama',Transitorio,Hortalizas,'Hortalizas de Tallo',35,33,924,28,'Allium fistulosum','En fresco'
'Tomate Invernadero',Transitorio,Hortalizas,'Hortalizas de Futo',12,11,429,39,'Lycopersicon esculentum','En fresco'
'Otras hortalizas',Transitorio,Hortalizas,Hortalizas,22,20,520,26,'No aplica','En fresco'
'Papa todas las variedades',Transitorio,'RaIces y TubErculos','RaIces y TubErculos',80,79,1738,22,'Solanum tuberosum','En fresco'
'Aguacate demAs variedades',Permanente,Frutales,'Demas frutales',4,2,42,21,'Persea americana','En fresco'
'Banano consumo interno',Permanente,Frutales,'Demas frutales',2,2,40,20,'Musa cavendishii','En fresco'
GuanAbana,Permanente,Frutales,AnonAceas,14,14,140,10,'Annona muricata L.','En fresco'
'LimOn  Pajarito',Permanente,Frutales,CItricos,1.32,1.32,13.2,10,'Citrus limon L.','En fresco'
'LimOn  TahitI',Permanente,Frutales,CItricos,23.84,23.84,476.8,20,'Citrus limon L.','En fresco'
'Mandarina Arrayana y/o Oneco',Permanente,Frutales,CItricos,50.69,50.69,1267.25,25,'Citrus reticulata','En fresco'
'Naranja Valencia',Permanente,Frutales,CItricos,259.8,259.8,6495,25,'Citrus sinensis L. OSBECK','En fresco'
'Naranja demAs variedades',Permanente,Frutales,CItricos,7.35,7.35,183.75,25,'Citrus sinensis L. OSBECK','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',87,85,1190,14,'Musa paradisiaca L.','En fresco'
Cacao,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',55,40,20,0.5,'Theobrama cacao L.','Grano seco'
CafE,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',5075,3444,4597,1.33,'Coffea arabica L.','Pergamino o seco de trilla'
'Cana Panelera',Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',15,5,200,40,'Saccharum officinarum L.','Cana o verde'
Frijol,Transitorio,Leguminosas,Leguminosas,5,4.9,7.35,1.5,'Phaseolus sp.','Grano seco'
Frijol,Transitorio,Leguminosas,Leguminosas,10,9.9,14.85,1.5,'Phaseolus sp.','Grano seco'
CafE,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',4094,3079,4068,1.32,'Coffea arabica L.','Pergamino o seco de trilla'
'Cana Panelera',Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',505,485,29100,60,'Saccharum officinarum L.','Cana o verde'
Fique,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',10,0,0,0,'Furcraea gigantea',Otros
Arveja,Transitorio,Leguminosas,Leguminosas,20,20,30,1.5,'Pisum sativum',Otros
Frijol,Transitorio,Leguminosas,Leguminosas,24,24,19.68,0.82,'Phaseolus sp.','Grano seco'
Arveja,Transitorio,Leguminosas,Leguminosas,10,10,14,1.4,'Pisum sativum',Otros
Frijol,Transitorio,Leguminosas,Leguminosas,18,18,16.2,0.9,'Phaseolus sp.','Grano seco'
Cacao,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',459,327,131,0.4,'Theobrama cacao L.','Grano seco'
CafE,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',5571,4099,5427,1.32,'Coffea arabica L.','Pergamino o seco de trilla'
'Cana de AzUcar',Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',57,57,6441,113,'Saccharum officinarum L.','Cana o verde'
'Cana Panelera',Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',180,126,4540,36.03,'Saccharum officinarum L.','Cana o verde'
Frijol,Transitorio,Leguminosas,Leguminosas,20,16,16,1,'Phaseolus sp.','Grano seco'
Frijol,Transitorio,Leguminosas,Leguminosas,2,1,1,1,'Phaseolus sp.','Grano seco'
CafE,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',1758,1379,1771,1.28,'Coffea arabica L.','Pergamino o seco de trilla'
'Cana Panelera',Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',100,90,990,11,'Saccharum officinarum L.','Cana o verde'
Arveja,Transitorio,Leguminosas,Leguminosas,3,3,3,1,'Pisum sativum',Otros
Frijol,Transitorio,Leguminosas,Leguminosas,150,150,225,1.5,'Phaseolus sp.','Grano seco'
Arveja,Transitorio,Leguminosas,Leguminosas,3,3,3,1,'Pisum sativum',Otros
Frijol,Transitorio,Leguminosas,Leguminosas,200,150,150,1,'Phaseolus sp.','Grano seco'
Cacao,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',715,700,420,0.6,'Theobrama cacao L.','Grano seco'
CafE,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',2890,2085,2752,1.32,'Coffea arabica L.','Pergamino o seco de trilla'
'Cana de AzUcar',Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',94,50,5500,110,'Saccharum officinarum L.','Cana o verde'
'Cana Panelera',Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',42,30,2100,70,'Saccharum officinarum L.','Cana o verde'
Frijol,Transitorio,Leguminosas,Leguminosas,2,2,3,1.5,'Phaseolus sp.','Grano seco'
Frijol,Transitorio,Leguminosas,Leguminosas,2,2,3,1.5,'Phaseolus sp.','Grano seco'
Cacao,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',11,11,6.6,0.6,'Theobrama cacao L.','Grano seco'
CafE,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',3989,2696,3626,1.34,'Coffea arabica L.','Pergamino o seco de trilla'
'Cana Panelera',Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',66,66,3300,50,'Saccharum officinarum L.','Cana o verde'
Frijol,Transitorio,Leguminosas,Leguminosas,3,3,3,1,'Phaseolus sp.','Grano seco'
Frijol,Transitorio,Leguminosas,Leguminosas,4,4,4,1,'Phaseolus sp.','Grano seco'
CafE,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',2060,1562,2045,1.31,'Coffea arabica L.','Pergamino o seco de trilla'
'Cana Panelera',Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',1657,1637,81850,50,'Saccharum officinarum L.','Cana o verde'
Frijol,Transitorio,Leguminosas,Leguminosas,30,29,36.25,1.25,'Phaseolus sp.','Grano seco'
Cacao,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',13,13,4.55,0.35,'Theobrama cacao L.','Grano seco'
CafE,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',935,694,909,1.31,'Coffea arabica L.','Pergamino o seco de trilla'
'Cana Panelera',Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',107,107,5350,50,'Saccharum officinarum L.','Cana o verde'
Frijol,Transitorio,Leguminosas,Leguminosas,22,22,22,1,'Phaseolus sp.','Grano seco'
Frijol,Transitorio,Leguminosas,Leguminosas,18,18,27,1.5,'Phaseolus sp.','Grano seco'
CafE,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',3538,2865,3644,1.27,'Coffea arabica L.','Pergamino o seco de trilla'
'Cana Panelera',Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',669,370,18500,50,'Saccharum officinarum L.','Cana o verde'
Fique,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',2,0,0,0,'Furcraea gigantea',Otros
Frijol,Transitorio,Leguminosas,Leguminosas,8,8,13.85,1.73,'Phaseolus sp.','Grano seco'
Frijol,Transitorio,Leguminosas,Leguminosas,8,8,13.85,1.73,'Phaseolus sp.','Grano seco'
CafE,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',404,338,417,1.23,'Coffea arabica L.','Pergamino o seco de trilla'
'Cana Panelera',Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',70,70,2800,40,'Saccharum officinarum L.','Cana o verde'
Cacao,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',124,91,72.8,0.8,'Theobrama cacao L.','Grano seco'
CafE,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',2791,2255,2926,1.3,'Coffea arabica L.','Pergamino o seco de trilla'
'Cana Panelera',Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',146,101,1212,12,'Saccharum officinarum L.','Cana o verde'
CafE,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',226,187,235,1.26,'Coffea arabica L.','Pergamino o seco de trilla'
'Cana Panelera',Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',21,21,735,35,'Saccharum officinarum L.','Cana o verde'
Frijol,Transitorio,Leguminosas,Leguminosas,16,16,18,1.12,'Phaseolus sp.','Grano seco'
Cacao,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',56,52,23.52,0.45,'Theobrama cacao L.','Grano seco'
CafE,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',3201,2431,3166,1.3,'Coffea arabica L.','Pergamino o seco de trilla'
'Cana Panelera',Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',462,462,27720,60,'Saccharum officinarum L.','Cana o verde'
Arveja,Transitorio,Leguminosas,Leguminosas,8,8,16.82,2.1,'Pisum sativum',Otros
Arveja,Transitorio,Leguminosas,Leguminosas,4,4,28.04,7.01,'Pisum sativum',Otros
Cacao,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',598,500,400,0.8,'Theobrama cacao L.','Grano seco'
'Cana Panelera',Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',6,6,120,20,'Saccharum officinarum L.','Cana o verde'
CafE,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',3424,2398,3218,1.34,'Coffea arabica L.','Pergamino o seco de trilla'
'Cana Panelera',Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',600,470,37600,80,'Saccharum officinarum L.','Cana o verde'
Frijol,Transitorio,Leguminosas,Leguminosas,0,0,0,0,'Phaseolus sp.','Grano seco'
Frijol,Transitorio,Leguminosas,Leguminosas,0,0,0,0,'Phaseolus sp.','Grano seco'
Cacao,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',87,82,65.6,0.8,'Theobrama cacao L.','Grano seco'
CafE,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',3013,3013,3916.9,1.3,'Coffea arabica L.','Pergamino o seco de trilla'
Cacao,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',44,11,5.5,0.5,'Theobrama cacao L.','Grano seco'
CafE,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',3886,3346,4195,1.25,'Coffea arabica L.','Pergamino o seco de trilla'
'Cana Panelera',Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',298,294,13230,45,'Saccharum officinarum L.','Cana o verde'
Arveja,Transitorio,Leguminosas,Leguminosas,2,2,2.34,1.17,'Pisum sativum',Otros
Frijol,Transitorio,Leguminosas,Leguminosas,2,2,5,2.5,'Phaseolus sp.','Grano seco'
Arveja,Transitorio,Leguminosas,Leguminosas,0,0,0,0,'Pisum sativum',Otros
Frijol,Transitorio,Leguminosas,Leguminosas,0,0,0,0,'Phaseolus sp.','Grano seco'
Cacao,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',152,80,60,0.75,'Theobrama cacao L.','Grano seco'
CafE,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',2867,2335,2989,1.28,'Coffea arabica L.','Pergamino o seco de trilla'
'Cana Panelera',Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',1303,1280,76800,60,'Saccharum officinarum L.','Cana o verde'
Frijol,Transitorio,Leguminosas,Leguminosas,0,0,0,0,'Phaseolus sp.','Grano seco'
Frijol,Transitorio,Leguminosas,Leguminosas,12,12,18,1.5,'Phaseolus sp.','Grano seco'
Cacao,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',97,75,17.5,0.23,'Theobrama cacao L.','Grano seco'
CafE,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',2939,2076,2796,1.35,'Coffea arabica L.','Pergamino o seco de trilla'
'Cana de AzUcar',Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',72,50,5500,110,'Saccharum officinarum L.','Cana o verde'
'Cana Panelera',Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',101,81,1650,20.37,'Saccharum officinarum L.','Cana o verde'
Frijol,Transitorio,Leguminosas,Leguminosas,30,30,39,1.3,'Phaseolus sp.','Grano seco'
Frijol,Transitorio,Leguminosas,Leguminosas,20,20,26,1.3,'Phaseolus sp.','Grano seco'
CafE,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',2258,1766,1146.5,0.65,'Coffea arabica L.','Pergamino o seco de trilla'
'Cana Panelera',Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',632,630,37800,60,'Saccharum officinarum L.','Cana o verde'
Frijol,Transitorio,Leguminosas,Leguminosas,13,10,18,1.8,'Phaseolus sp.','Grano seco'
Frijol,Transitorio,Leguminosas,Leguminosas,9,9,14,1.56,'Phaseolus sp.','Grano seco'
Cacao,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',1566,1009,807.2,0.8,'Theobrama cacao L.','Grano seco'
CafE,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',2819,2348,2987,1.27,'Coffea arabica L.','Pergamino o seco de trilla'
'Cana Panelera',Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',1406,1240,49600,40,'Saccharum officinarum L.','Cana o verde'
Frijol,Transitorio,Leguminosas,Leguminosas,5.5,5.5,3.85,0.7,'Phaseolus sp.','Grano seco'
Frijol,Transitorio,Leguminosas,Leguminosas,10,10,8,0.8,'Phaseolus sp.','Grano seco'
Cacao,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',71,53,27.03,0.51,'Theobrama cacao L.','Grano seco'
CafE,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',1666,1236,1647,1.33,'Coffea arabica L.','Pergamino o seco de trilla'
'Cana de AzUcar',Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',222,190,21470,113,'Saccharum officinarum L.','Cana o verde'
'Cana Panelera',Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',30,29,1740,60,'Saccharum officinarum L.','Cana o verde'
Frijol,Transitorio,Leguminosas,Leguminosas,2.8,2,2,1,'Phaseolus sp.','Grano seco'
Frijol,Transitorio,Leguminosas,Leguminosas,2,1.5,1.5,1,'Phaseolus sp.','Grano seco'
Cacao,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',79,52,40,0.77,'Theobrama cacao L.','Grano seco'
CafE,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',1481,1192,1544,1.3,'Coffea arabica L.','Pergamino o seco de trilla'
'Cana Panelera',Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',2180,2025,121500,60,'Saccharum officinarum L.','Cana o verde'
Frijol,Transitorio,Leguminosas,Leguminosas,4,4,4,1,'Phaseolus sp.','Grano seco'
